source,target,interactions,type
1,2,68,undirected
1,3,2,undirected
1,4,8,undirected
1,5,8,undirected
1,7,1,undirected
2,1,48,undirected
2,4,3,undirected
2,5,2,undirected
2,6,3,undirected
2,7,2,undirected
2,11,2,undirected
3,1,3,undirected
3,2,2,undirected
3,4,2,undirected
3,5,3,undirected
3,11,1,undirected
4,1,6,undirected
4,2,4,undirected
4,3,2,undirected
4,5,19,undirected
5,1,6,undirected
5,2,1,undirected
5,3,1,undirected
5,4,12,undirected
5,8,1,undirected
5,9,2,undirected
5,10,2,undirected
6,2,4,undirected
7,2,2,undirected
8,5,5,undirected
9,5,2,undirected
10,4,3,undirected
10,5,4,undirected
11,2,3,undirected